ID	Pop	Family	Block	Surv_15	Fstart_15	Flow_15	Shootl_15	Inf_15	Slqd_15	Fruits_15	Fstop_15	Surv_16	Fstart_16	Flow_16	Shootl_16	Inf_16	Slqd_16	Fruits_16	Fstop_16	Flow_17	Fstart_17	Shootl_17	Inf_17	Slqd_17	Fruits_17	Fstop_17
2967	T3	T3-1	1	1	NA	0	NA	NA	NA	0	NA	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
3194	J3	J3-3	1	1	165	1	75	3	209	32	200	1	134	0	55	10	NA	0	168	0	158	70	1	NA	0	191
1825	T1	T1-1	1	1	142	1	35	2	198	39	202	1	137	1	55	10	178	50	168	1	153	55	7	191	25	191
1663	T1	T1-10	1	1	NA	0	NA	NA	NA	0	NA	1	139	1	35	4	178	24	166	0	153	30	1	NA	0	191
1754	J4	J4-8	1	1	146	1	45	1	191	16	186	1	134	1	55	3	183	7	161	0	NA	NA	NA	NA	0	NA
1561	T1	T1-11	1	1	149	1	40	1	195	21	186	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
1666	J2	J2-6	1	1	156	1	75	3	209	32	251	1	139	1	90	8	183	18	207	1	160	80	7	198	9	205
1974	J4	J4-1	1	1	138	1	45	8	191	78	NA	1	134	1	50	23	178	94	203	1	146	25	13	191	8	191
1135	T4	T4-11	1	1	149	1	35	1	198	12	191	1	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
2923	NC	NC-33	1	1	172	0	20	1	NA	0	184	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
3058	J3	J3-2	1	1	149	0	40	1	NA	0	188	1	137	1	50	6	183	44	214	1	153	40	5	191	14	198
3372	NC	NC-3	1	1	149	0	175	17	NA	0	188	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
3169	J1	J1-5	1	1	172	1	140	2	212	14	200	1	142	1	100	5	190	11	166	1	156	100	5	191	26	198
3345	NC	NC-3	1	1	152	1	195	12	212	18	200	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	0	NA
1340	J4	J4-1	1	1	142	1	45	2	191	21	191	1	137	1	55	5	183	13	162	0	156	50	1	NA	0	227
