pop,ploidy,ms,region,garden,mom,id,weight,angle.of.attack,terminal.velocity,bristle.length,number.of.bristles,weight.1,weight.2,frames,time.to.travel.1m,angle.of.attack.a,angle.of.attack.b,notes,bristle.length.a,bristle.length.b,total.bristle.length,t.velocity,lat
B52,Polyploid,A,Laramie,no,AW0119,AW0119.1,0.001,63,1.377410468,4.6,28,0.001,0.001,11,0.726,74,43,,4.9,4.3,9.2,1.377410468,40.94106
B52,Polyploid,A,Laramie,no,AW0119,AW0119.2,0.001,74,1.515151515,4.6,24,0.001,0.001,10,0.66,48,58,,4.6,4.6,9.2,1.515151515,40.94106
B52,Polyploid,A,Laramie,no,AW0120,AW0120.1,0.00095,136,0.757575758,5.55,29,0.001,0.0009,20,1.32,26,18,,5.6,5.5,11.1,0.757575758,40.94106
B52,Polyploid,A,Laramie,no,AW0120,AW0120.2,0.00105,145,1.165501166,5.85,27,0.001,0.0011,13,0.858,23,12,,6,5.7,11.7,1.165501166,40.94106
B52,Polyploid,A,Laramie,no,AW0121,AW0121.1,0.00095,126,0.797448166,5.2,29,0.001,0.0009,19,1.254,22,32,,5.1,5.3,10.4,0.797448166,40.94106
B52,Polyploid,A,Laramie,no,AW0121,AW0121.2,0.00085,117,1.165501166,4.35,26,0.0009,0.0008,13,0.858,49,14,,4.6,4.1,8.7,1.165501166,40.94106
B52,Polyploid,A,Laramie,no,AW0122,AW0122.1,0.0011,119,1.01010101,5.95,32,0.001,0.0012,15,0.99,49,12,,6,5.9,11.9,1.01010101,40.94106
B52,Polyploid,A,Laramie,no,AW0122,AW0122.2,0.00095,96,0.946969697,5.65,30,0.0009,0.001,16,1.056,21,63,,5.6,5.7,11.3,0.946969697,40.94106
B52,Polyploid,A,Laramie,no,AW0123,AW0123.1,0.0012,157,0.757575758,5.4,30,0.0012,0.0012,20,1.32,4,19,,5.1,5.7,10.8,0.757575758,40.94106
B52,Polyploid,A,Laramie,no,AW0123,AW0123.2,0.00115,180,0.688705234,5.8,37,0.0012,0.0011,22,1.452,0,0,above 180,5.9,5.7,11.6,0.688705234,40.94106
B52,Polyploid,A,Laramie,no,AW0125,AW0125.1,0.00085,122,0.891265597,6.35,29,0.0009,0.0008,17,1.122,20,38,,6.1,6.6,12.7,0.891265597,40.94106
B52,Polyploid,A,Laramie,no,AW0125,AW0125.2,0.0009,124,0.841750842,5.65,28,0.0009,0.0009,18,1.188,52,4,,5.4,5.9,11.3,0.841750842,40.94106
B52,Polyploid,A,Laramie,no,AW0126,AW0126.1,0.0008,97,0.891265597,6.35,31,0.0008,0.0008,17,1.122,43,40,,6.1,6.6,12.7,0.891265597,40.94106
B52,Polyploid,A,Laramie,no,AW0126,AW0126.2,0.0008,134,0.757575758,6.25,35,0.0008,0.0008,20,1.32,11,35,,6.2,6.3,12.5,0.757575758,40.94106
B52,Polyploid,A,Laramie,no,AW0127,AW0127.1,0.00125,115,1.082251082,5.8,33,0.0013,0.0012,14,0.924,25,40,,5.5,6.1,11.6,1.082251082,40.94106
B52,Polyploid,A,Laramie,no,AW0127,AW0127.2,0.0011,141,0.946969697,6.2,34,0.0012,0.001,16,1.056,15,24,,6.3,6.1,12.4,0.946969697,40.94106
B52,Polyploid,A,Laramie,no,AW0128,AW0128.1,0.0008,125,0.721500722,6,34,0.0008,0.0008,21,1.386,45,10,,6.2,5.8,12,0.721500722,40.94106
