garden,g.region,ms.g,field.tag,pop,s.region,ms,rep,mom,year,surv,leaf.num,leaf.length,bud.num,field.tag.new,root.volume,total.volume,Notes
SS2,S.g,S,62,C85,A.s,A,EH0092.2,EH0092,5,1,68,41,1,303,0.6,1.6,1/2 ct
SS2,S.g,S,64,B42,S.s,S,EH0234.23,EH0234,5,1,128,58,3,304,1.3,7.3,1/4 ct
SS2,S.g,S,65,L17,AO.s,A,EH0153.17,EH0153,5,1,52,36,2,305,0.5,1,1/2 ct 
SS2,S.g,S,68,C27,A.s,A,EH0011.30,EH0011,5,1,26,42,0,306,0.5,0.7,(Full)
SS2,S.g,S,78,C85,A.s,A,EH0086.25,EH0086,5,1,29,47,0,307,0.4,1.4,(Full)
SS2,S.g,S,85,L06,AO.s,A,EH0157.28,EH0157,5,1,116,26,1,308,0.7,2.6,1/4 ct
SS2,S.g,S,93,C27,A.s,A,EH0020.18,EH0020,5,1,24,35,0,309,0.2,0.4,"(Full)-Quite small, but healthy"
SS2,S.g,S,106,L06,AO.s,A,EH0171.26,EH0171,5,1,120,41,2,310,0.6,1.9,1/4 ct
SS2,S.g,S,112,B46,S.s,S,AW0011.9,AW0011,5,1,48,48,1,311,0.6,2.15,1/2 ct
SS2,S.g,S,113,B42,S.s,S,EH0239.14,EH0239,5,1,25,55,0,312,1.2,2.2,(Full)
SS2,S.g,S,117,L12,SO.s,S,AW0292.2,AW0292,5,1,51,43,1,313,0.05,0.7,1/3 ct
SS2,S.g,S,124,L17,AO.s,A,EH0147.3,EH0147,5,1,68,35,2,314,0.6,1.5,1/2 ct
SS2,S.g,S,126,C86,A.s,A,EH0072.23,EH0072,5,1,108,42,2,315,0.6,NA,1/4 ct
SS2,S.g,S,136,L17,AO.s,A,EH0134.4,EH0134,5,1,54,29,1,316,0.3,1.5,1/2 ct
SS2,S.g,S,145,B46,S.s,S,AW0019.25,AW0019,5,1,46,48,1,317,0.8,1.9,1/2 ct
SS2,S.g,S,146,L11,SO.s,S,AW0191.11,AW0191,5,1,34,36,0,318,0.2,0.8,(Full)
SS2,S.g,S,147,L17,AO.s,A,EH0138.13,EH0138,5,1,33,42,0,319,0.3,0.7,(Full)
