pop,ms,plate,mom,rep,id,germ,days
B42,S,193,AW0173,19,AW0173.19,1,3
B42,S,193,AW0173,17,AW0173.17,1,4
B42,S,115,AW0175,20,AW0175.20,1,4
B42,S,217,AW0175,29,AW0175.29,1,4
B42,S,217,AW0175,30,AW0175.30,1,4
B42,S,95,AW0176,7,AW0176.7,1,4
B42,S,132,AW0176,15,AW0176.15,1,4
B42,S,173,AW0176,21,AW0176.21,1,4
B42,S,240,AW0176,29,AW0176.29,1,4
B42,S,240,AW0176,30,AW0176.30,1,4
B42,S,240,AW0176,31,AW0176.31,1,4
B42,S,102,EH0235,5,EH0235.5,1,4
B42,S,248,EH0236,27,EH0236.27,1,4
B42,S,131,AW0173,5,AW0173.5,1,5
B42,S,131,AW0173,6,AW0173.6,1,5
B42,S,193,AW0173,18,AW0173.18,1,5
B42,S,197,AW0173,21,AW0173.21,1,5
B42,S,197,AW0173,22,AW0173.22,1,5
B42,S,206,AW0173,28,AW0173.28,1,5
B42,S,4,AW0175,3,AW0175.3,1,5
B42,S,28,AW0176,1,AW0176.1,1,5
B42,S,95,AW0176,6,AW0176.6,1,5
B42,S,105,AW0176,12,AW0176.12,1,5
B42,S,173,AW0176,22,AW0176.22,1,5
B42,S,188,AW0176,25,AW0176.25,1,5
B42,S,174,EH0233,13,EH0233.13,1,5
B42,S,94,EH0234,11,EH0234.11,1,5
B42,S,235,EH0234,31,EH0234.31,1,5
B42,S,5,EH0235,1,EH0235.1,1,5
B42,S,5,EH0235,2,EH0235.2,1,5
B42,S,5,EH0235,3,EH0235.3,1,5
B42,S,102,EH0235,8,EH0235.8,1,5
B42,S,182,EH0235,29,EH0235.29,1,5
B42,S,248,EH0236,25,EH0236.25,1,5
B42,S,248,EH0236,26,EH0236.26,1,5
B42,S,78,EH0245,13,EH0245.13,1,5
B42,S,25,AW0173,2,AW0173.2,1,6
B42,S,25,AW0173,3,AW0173.3,1,6
B42,S,131,AW0173,7,AW0173.7,1,6
B42,S,197,AW0173,23,AW0173.23,1,6
B42,S,206,AW0173,27,AW0173.27,1,6
B42,S,69,AW0175,11,AW0175.11,1,6
B42,S,115,AW0175,17,AW0175.17,1,6
B42,S,115,AW0175,18,AW0175.18,1,6
B42,S,115,AW0175,19,AW0175.19,1,6
B42,S,207,AW0175,26,AW0175.26,1,6
B42,S,28,AW0176,2,AW0176.2,1,6
B42,S,95,AW0176,5,AW0176.5,1,6
B42,S,105,AW0176,10,AW0176.10,1,6
B42,S,105,AW0176,11,AW0176.11,1,6
B42,S,132,AW0176,16,AW0176.16,1,6
B42,S,164,AW0176,18,AW0176.18,1,6
B42,S,188,AW0176,27,AW0176.27,1,6
B42,S,235,EH0234,30,EH0234.30,1,6
B42,S,158,EH0235,23,EH0235.23,1,6
B42,S,30,EH0236,4,EH0236.4,1,6
B42,S,40,EH0245,7,EH0245.7,1,6
B42,S,79,EH0245,18,EH0245.18,1,6
B42,S,131,AW0173,8,AW0173.8,1,7
B42,S,172,AW0173,15,AW0173.15,1,7
B42,S,206,AW0173,25,AW0173.25,1,7
B42,S,206,AW0173,26,AW0173.26,1,7
B42,S,221,AW0173,29,AW0173.29,1,7
B42,S,4,AW0175,4,AW0175.4,1,7
B42,S,47,AW0175,5,AW0175.5,1,7
B42,S,105,AW0176,9,AW0176.9,1,7
B42,S,188,AW0176,26,AW0176.26,1,7
B42,S,240,AW0176,32,AW0176.32,1,7
B42,S,152,EH0234,13,EH0234.13,1,7
B42,S,221,EH0234,27,EH0234.27,1,7
B42,S,235,EH0234,29,EH0234.29,1,7
B42,S,107,EH0235,10,EH0235.10,1,7
B42,S,107,EH0235,11,EH0235.11,1,7
B42,S,182,EH0235,31,EH0235.31,1,7
B42,S,218,EH0239,21,EH0239.21,1,7
B42,S,264,EH0239,32,EH0239.32,1,7
B42,S,175,EH0244,13,EH0244.13,1,7
B42,S,175,EH0244,14,EH0244.14,1,7
B42,S,240,EH0244,28,EH0244.28,1,7
B42,S,54,EH0245,12,EH0245.12,1,7
B42,S,118,EH0245,21,EH0245.21,1,7
B42,S,118,EH0245,22,EH0245.22,1,7
B42,S,172,AW0173,13,AW0173.13,1,8
B42,S,172,AW0173,14,AW0173.14,1,8
B42,S,197,AW0173,24,AW0173.24,1,8
B42,S,69,AW0175,10,AW0175.10,1,8
B42,S,207,AW0175,25,AW0175.25,1,8
B42,S,28,AW0176,3,AW0176.3,1,8
B42,S,132,AW0176,13,AW0176.13,1,8
B42,S,132,AW0176,14,AW0176.14,1,8
B42,S,164,AW0176,17,AW0176.17,1,8
B42,S,164,AW0176,19,AW0176.19,1,8
B42,S,149,EH0233,11,EH0233.11,1,8
B42,S,174,EH0233,14,EH0233.14,1,8
B42,S,189,EH0233,21,EH0233.21,1,8
B42,S,248,EH0233,29,EH0233.29,1,8
B42,S,167,EH0234,23,EH0234.23,1,8
B42,S,221,EH0234,25,EH0234.25,1,8
B42,S,221,EH0234,26,EH0234.26,1,8
B42,S,181,EH0235,25,EH0235.25,1,8
B42,S,82,EH0236,6,EH0236.6,1,8
B42,S,134,EH0236,13,EH0236.13,1,8
B42,S,149,EH0236,20,EH0236.20,1,8
B42,S,259,EH0236,29,EH0236.29,1,8
B42,S,258,EH0239,28,EH0239.28,1,8
B42,S,264,EH0239,29,EH0239.29,1,8
B42,S,264,EH0239,30,EH0239.30,1,8
B42,S,264,EH0239,31,EH0239.31,1,8
B42,S,240,EH0244,27,EH0244.27,1,8
B42,S,245,EH0244,30,EH0244.30,1,8
B42,S,78,EH0245,14,EH0245.14,1,8
B42,S,129,EH0245,26,EH0245.26,1,8
B42,S,160,AW0173,10,AW0173.10,1,9
B42,S,160,AW0173,11,AW0173.11,1,9
B42,S,4,AW0175,1,AW0175.1,1,9
B42,S,4,AW0175,2,AW0175.2,1,9
B42,S,162,AW0175,21,AW0175.21,1,9
B42,S,162,AW0175,22,AW0175.22,1,9
B42,S,164,AW0176,20,AW0176.20,1,9
B42,S,189,EH0233,22,EH0233.22,1,9
B42,S,189,EH0233,23,EH0233.23,1,9
B42,S,94,EH0234,10,EH0234.10,1,9
B42,S,152,EH0234,14,EH0234.14,1,9
B42,S,102,EH0235,7,EH0235.7,1,9
B42,S,158,EH0235,24,EH0235.24,1,9
B42,S,181,EH0235,27,EH0235.27,1,9
B42,S,182,EH0235,30,EH0235.30,1,9
B42,S,30,EH0236,3,EH0236.3,1,9
B42,S,113,EH0236,10,EH0236.10,1,9
B42,S,113,EH0236,11,EH0236.11,1,9
B42,S,134,EH0236,14,EH0236.14,1,9
B42,S,149,EH0236,18,EH0236.18,1,9
B42,S,170,EH0236,21,EH0236.21,1,9
B42,S,170,EH0236,22,EH0236.22,1,9
B42,S,175,EH0242,29,EH0242.29,1,9
B42,S,19,EH0244,1,EH0244.1,1,9
B42,S,19,EH0244,3,EH0244.3,1,9
B42,S,133,EH0244,10,EH0244.10,1,9
B42,S,175,EH0244,15,EH0244.15,1,9
B42,S,181,EH0244,17,EH0244.17,1,9
B42,S,181,EH0244,18,EH0244.18,1,9
