code,source,garden,pop,ms,id,bud.num,all.seed,good.seed,good.ratio,seed.per.bud,total_area,average_size,%area,Mean,notes
AO2.128,garden,AO2,B42,S,128,1,60,0,0,60,107285,1915.804,0.446,251.017,
AO2.86,garden,AO2,B49,S,86,1,36,0,0,36,67646,1989.588,0.281,251.757,
SS1.79,garden,SS1,B42,S,79,3,96,1,0.010416667,32,259160,2699.583,1.077,251.991,
AO2.24,garden,AO2,L12,S,24,1,70,5,0.071428571,70,194262,2856.794,0.807,251.27,
AA2.196,garden,AA2,B46,S,196,1,58,6,0.103448276,58,105628,1920.509,0.439,251.139,
SS2.52,garden,SS2,B46,S,52,1,52,8,0.153846154,52,147242,2831.577,0.612,251.304,
SO2.14,garden,SO2,L06,A,14,2,186,10,0.053763441,93,176284,1895.527,0.733,253.233,
SS1.50,garden,SS1,B42,S,50,3,59,12,0.203389831,19.66666667,228901,3879.678,0.951,250.358,
AO1.64,garden,AO1,L11,S,64,3,33,14,0.424242424,11,42148,1561.037,0.175,254.787,
AO1.152,garden,AO1,L16,A,152,1,51,16,0.31372549,51,104963,2186.729,0.436,251.798,
AO2.319,garden,AO2,L16,A,319,1,46,16,0.347826087,46,97638,2169.733,0.406,253.41,
AO2.320,garden,AO2,L16,A,320,1,78,16,0.205128205,78,188873,2421.449,0.785,252.689,
SS1.22,garden,SS1,B42,S,22,3,122,17,0.139344262,40.66666667,292894,2420.612,1.217,252.32,
SS2.175,garden,SS2,B49,S,175,1,40,19,0.475,40,86092,2152.3,0.358,251.069,
SO2.137,garden,SO2,B53,S,137,2,237,20,0.084388186,118.5,650726,2745.679,2.704,252.43,
SO2.254,garden,SO2,C86,A,254,1,32,21,0.65625,32,76731,2397.844,0.319,252.089,
AA2.175,garden,AA2,L11,S,175,1,69,22,0.31884058,69,183889,2665.058,0.764,250.604,
AO2.130,garden,AO2,L12,S,130,1,57,22,0.385964912,57,104188,1827.86,0.433,252.696,
AO1.266,garden,AO1,L11,S,266,1,43,23,0.534883721,43,80515,2064.487,0.335,254.009,
SO1.64,garden,SO1,B46,S,64,1,49,24,0.489795918,49,138265,2880.521,0.575,252.713,
AO2.131,garden,AO2,C27,A,131,1,71,24,0.338028169,71,164148,2311.944,0.682,253.268,
SS2.171,garden,SS2,B42,S,171,1,66,25,0.378787879,66,170340,2580.909,0.708,251.827,
AO1.287,garden,AO1,C85,A,287,1,54,25,0.462962963,54,123636,2289.556,0.514,252.686,
AO2.138,garden,AO2,L17,A,138,1,50,25,0.5,50,104912,2185.667,0.436,254.255,
SS1.274,garden,SS1,B42,S,274,2,138,26,0.188405797,69,314177,2416.746,1.306,247.156,
SS1.112,garden,SS1,C86,A,112,1,47,26,0.553191489,47,106483,2265.596,0.442,253.189,
AO2.77,garden,AO2,L12,S,77,1,59,27,0.457627119,59,166889,2828.627,0.694,252.244,
SO2.144,garden,SO2,B49,S,144,3,110,28,0.254545455,36.66666667,126414,1708.297,0.525,252.3,
AA1.44,garden,AA1,C85,A,44,1,65,28,0.430769231,65,231380,3559.692,0.962,251.607,
AO1.289,garden,AO1,L11,S,289,3,102,28,0.274509804,34,274356,2716.396,1.14,252.757,
SO1.312,garden,SO1,C85,A,312,1,47,30,0.638297872,47,124602,2768.933,0.518,253.332,
SO1.249,garden,SO1,L16,A,249,1,74,30,0.405405405,74,163578,2370.696,0.68,252.723,
AO1.166,garden,AO1,L12,S,166,1,62,31,0.5,62,163215,2632.5,0.678,253.329,
AO2.237,garden,AO2,L12,S,237,1,72,33,0.458333333,72,152791,2122.097,0.635,252.708,
AA2.125,garden,AA2,L11,S,125,2,112,34,0.303571429,56,221839,2112.752,0.922,252.264,
SS1.141,garden,SS1,B53,S,141,3,173,35,0.202312139,57.66666667,426024,2491.368,1.77,250.588,
AO2.92,garden,AO2,L16,A,92,1,87,35,0.402298851,87,219926,2527.885,0.914,253.661,
AO2.341,garden,AO2,C27,A,341,1,57,36,0.631578947,57,178894,3138.491,0.743,253.072,
SS2.65,garden,SS2,L17,A,65,1,102,36,0.352941176,102,252124,2521.24,1.048,253.129,
AO1.286,garden,AO1,L11,S,286,3,61,38,0.62295082,20.33333333,150925,2558.051,0.627,252.315,
SS2.193,garden,SS2,B53,S,193,1,65,40,0.615384615,65,214138,3294.431,0.89,252.866,
SS1.81,garden,SS1,L06,A,81,2,69,40,0.579710145,34.5,175470,2618.955,0.729,253.719,
AO2.11,garden,AO2,L16,A,11,1,81,40,0.49382716,81,183981,2299.762,0.765,254.04,
SS2.210,garden,SS2,B49,S,210,1,64,43,0.671875,64,139219,2282.279,0.579,253.498,
AA2.213,garden,AA2,C85,A,213,1,53,45,0.849056604,53,163178,3078.83,0.678,252.488,
SS2.62,garden,SS2,C85,A,62,1,57,45,0.789473684,57,159713,2801.982,0.664,252.76,
AA2.141,garden,AA2,L06,A,141,2,86,45,0.523255814,43,239433,2850.393,0.995,252.948,
AO2.318,garden,AO2,C86,A,318,1,82,54,0.658536585,82,189222,2307.585,0.786,253.981,
AO2.118,garden,AO2,L06,A,118,1,94,55,0.585106383,94,212070,2305.109,0.881,254.079,
SS2.228,garden,SS2,L12,S,228,1,94,55,0.585106383,94,259139,2756.798,1.077,253.573,
SS1.173,garden,SS1,L17,A,173,1,100,55,0.55,100,250589,2505.89,1.041,251.097,
SS1.202,garden,SS1,B46,S,202,2,127,56,0.440944882,63.5,110109,2560.674,0.458,252.906,
SS2.145,garden,SS2,B46,S,145,1,86,56,0.651162791,86,259736,3020.186,1.079,253.706,
AO2.119,garden,AO2,C85,A,119,1,109,60,0.550458716,109,275661,2576.271,1.146,252.992,
SS2.85,garden,SS2,L06,A,85,1,106,63,0.594339623,106,301430,2843.679,1.253,253.06,
SS2.64,garden,SS2,B42,S,64,2,190,66,0.347368421,95,169890,3614.681,0.706,251.537,"one bagged, one ball"
AO2.63,garden,AO2,C86,A,63,2,95,66,0.694736842,47.5,233272,2455.495,0.969,253.461,
AO1.59,garden,AO1,L06,A,59,1,76,66,0.868421053,76,192867,2537.724,0.801,253.465,
AA1.106,garden,AA1,B46,S,106,1,114,68,0.596491228,114,457374,4047.558,1.901,252.001,
SS1.171,garden,SS1,C85,A,171,1,93,68,0.731182796,93,273692,3007.604,1.137,253.377,
SS1.264,garden,SS1,B42,S,264,3,278,71,0.255395683,92.66666667,234041,2017.595,0.973,245.714,
