pop,s.region,ms,id,rep,mom,year,surv,leaf.num,leaf.length,rack
B46,S.s,S,AW0006,1,AW0006,0,1,11,40,1
B46,S.s,S,AW0006,2,AW0006,0,1,5,12,1
B46,S.s,S,AW0006,3,AW0006,0,1,6,19,1
B46,S.s,S,AW0006,4,AW0006,0,1,6,10,1
B46,S.s,S,AW0006,6,AW0006,0,1,6,15,10
B46,S.s,S,AW0006,7,AW0006,0,1,6,31,10
B46,S.s,S,AW0006,8,AW0006,0,1,6,13,10
B46,S.s,S,AW0006,9,AW0006,0,1,6,20,10
B46,S.s,S,AW0006,10,AW0006,0,1,4,12,15
B46,S.s,S,AW0006,11,AW0006,0,1,5,9,15
B46,S.s,S,AW0006,12,AW0006,0,1,12,33,15
B46,S.s,S,AW0006,15,AW0006,0,1,4,8,15
B46,S.s,S,AW0006,16,AW0006,0,1,5,17,29
B46,S.s,S,AW0006,17,AW0006,0,1,6,12,29
B46,S.s,S,AW0006,18,AW0006,0,1,5,13,29
B46,S.s,S,AW0006,19,AW0006,0,1,5,9,29
B46,S.s,S,AW0006,21,AW0006,0,1,6,23,34
B46,S.s,S,AW0006,22,AW0006,0,1,5,20,34
B46,S.s,S,AW0006,23,AW0006,0,1,7,20,34
B46,S.s,S,AW0006,26,AW0006,0,1,4,11,34
B46,S.s,S,AW0006,28,AW0006,0,1,5,14,37
B46,S.s,S,AW0006,29,AW0006,0,1,3,8,37
B46,S.s,S,AW0006,31,AW0006,0,1,2,9,37
B46,S.s,S,AW0006,32,AW0006,0,1,8,20,37
B46,S.s,S,AW0007,2,AW0007,0,1,8,25,38
B46,S.s,S,AW0007,3,AW0007,0,1,6,19,38
B46,S.s,S,AW0007,4,AW0007,0,1,7,13,38
B46,S.s,S,AW0007,6,AW0007,0,1,11,25,38
B46,S.s,S,AW0007,7,AW0007,0,1,6,16,42
B46,S.s,S,AW0007,8,AW0007,0,1,5,16,42
B46,S.s,S,AW0007,9,AW0007,0,1,5,12,42
B46,S.s,S,AW0007,10,AW0007,0,1,9,25,42
B46,S.s,S,AW0007,11,AW0007,0,1,7,16,2
B46,S.s,S,AW0007,13,AW0007,0,1,11,27,2
B46,S.s,S,AW0007,14,AW0007,0,1,9,29,2
B46,S.s,S,AW0007,16,AW0007,0,1,13,25,2
B46,S.s,S,AW0007,17,AW0007,0,1,10,20,13
B46,S.s,S,AW0007,25,AW0007,0,1,8,16,13
B46,S.s,S,AW0007,26,AW0007,0,1,4,7,13
B46,S.s,S,AW0007,27,AW0007,0,1,14,29,13
B46,S.s,S,AW0007,29,AW0007,0,1,4,8,17
B46,S.s,S,AW0007,30,AW0007,0,1,4,6,17
B46,S.s,S,AW0007,31,AW0007,0,1,12,21,17
B46,S.s,S,AW0007,32,AW0007,0,1,6,12,17
B46,S.s,S,AW0008,1,AW0008,0,1,9,19,19
B46,S.s,S,AW0008,2,AW0008,0,1,6,15,19
B46,S.s,S,AW0008,3,AW0008,0,1,7,20,19
B46,S.s,S,AW0008,4,AW0008,0,1,4,12,19
B46,S.s,S,AW0008,5,AW0008,0,1,3,3,20
B46,S.s,S,AW0008,7,AW0008,0,1,6,17,20
B46,S.s,S,AW0008,8,AW0008,0,1,6,23,20
B46,S.s,S,AW0008,9,AW0008,0,1,9,19,20
B46,S.s,S,AW0008,10,AW0008,0,1,6,15,27
B46,S.s,S,AW0008,12,AW0008,0,1,7,20,27
B46,S.s,S,AW0008,14,AW0008,0,1,8,28,27
B46,S.s,S,AW0008,15,AW0008,0,1,4,14,27
B46,S.s,S,AW0008,16,AW0008,0,1,4,15,28
B46,S.s,S,AW0008,17,AW0008,0,1,5,14,28
B46,S.s,S,AW0008,19,AW0008,0,1,7,15,28
B46,S.s,S,AW0008,22,AW0008,0,1,4,9,28
B46,S.s,S,AW0008,23,AW0008,0,1,9,23,32
B46,S.s,S,AW0008,24,AW0008,0,1,7,14,32
B46,S.s,S,AW0008,25,AW0008,0,1,5,10,32
B46,S.s,S,AW0008,26,AW0008,0,1,7,20,32
B46,S.s,S,AW0008,27,AW0008,0,1,4,10,3
B46,S.s,S,AW0008,28,AW0008,0,1,12,30,3
B46,S.s,S,AW0008,29,AW0008,0,1,5,9,3
B46,S.s,S,AW0008,30,AW0008,0,1,9,20,3
B46,S.s,S,AW0010,1,AW0010,0,1,12,38,11
B46,S.s,S,AW0010,2,AW0010,0,1,16,30,11
B46,S.s,S,AW0010,3,AW0010,0,1,10,26,11
B46,S.s,S,AW0010,4,AW0010,0,1,6,8,11
B46,S.s,S,AW0010,6,AW0010,0,1,6,14,19
B46,S.s,S,AW0010,7,AW0010,0,1,6,11,19
B46,S.s,S,AW0010,10,AW0010,0,1,6,19,19
B46,S.s,S,AW0010,15,AW0010,0,1,7,10,19
B46,S.s,S,AW0010,16,AW0010,0,1,6,29,24
B46,S.s,S,AW0010,17,AW0010,0,1,3,9,24
B46,S.s,S,AW0010,23,AW0010,0,1,6,18,24
B46,S.s,S,AW0010,24,AW0010,0,1,6,20,24
B46,S.s,S,AW0010,27,AW0010,0,1,7,17,29
B46,S.s,S,AW0010,28,AW0010,0,1,7,20,29
B46,S.s,S,AW0010,31,AW0010,0,1,4,10,29
B46,S.s,S,AW0010,32,AW0010,0,1,3,9,29
B46,S.s,S,AW0011,1,AW0011,0,1,7,17,39
B46,S.s,S,AW0011,3,AW0011,0,1,6,11,39
B46,S.s,S,AW0011,4,AW0011,0,1,6,19,39
B46,S.s,S,AW0011,6,AW0011,0,1,4,11,39
B46,S.s,S,AW0011,7,AW0011,0,1,8,15,41
B46,S.s,S,AW0011,8,AW0011,0,1,5,9,41
B46,S.s,S,AW0011,9,AW0011,0,1,7,14,41
B46,S.s,S,AW0011,14,AW0011,0,1,5,11,41
B46,S.s,S,AW0011,15,AW0011,0,1,10,29,43
B46,S.s,S,AW0011,20,AW0011,0,1,4,7,43
B46,S.s,S,AW0011,21,AW0011,0,1,7,11,43
B46,S.s,S,AW0011,22,AW0011,0,1,7,11,43
B46,S.s,S,AW0011,23,AW0011,0,1,10,16,5
B46,S.s,S,AW0011,26,AW0011,0,1,8,21,5
B46,S.s,S,AW0011,31,AW0011,0,1,3,7,5
B46,S.s,S,AW0011,32,AW0011,0,1,4,12,5
B46,S.s,S,AW0014,1,AW0014,0,1,5,13,11
B46,S.s,S,AW0014,2,AW0014,0,1,9,28,11
B46,S.s,S,AW0014,3,AW0014,0,1,6,15,11
B46,S.s,S,AW0014,4,AW0014,0,1,7,11,11
B46,S.s,S,AW0014,5,AW0014,0,1,6,12,14
B46,S.s,S,AW0014,6,AW0014,0,1,6,14,14
B46,S.s,S,AW0014,9,AW0014,0,1,6,20,14
B46,S.s,S,AW0014,10,AW0014,0,1,5,15,14
B46,S.s,S,AW0014,11,AW0014,0,1,7,15,19
B46,S.s,S,AW0014,12,AW0014,0,1,5,14,19
B46,S.s,S,AW0014,13,AW0014,0,1,9,19,19
B46,S.s,S,AW0014,14,AW0014,0,1,11,38,19
B46,S.s,S,AW0014,15,AW0014,0,1,11,32,27
B46,S.s,S,AW0014,16,AW0014,0,1,7,27,27
B46,S.s,S,AW0014,17,AW0014,0,1,5,19,27
B46,S.s,S,AW0014,18,AW0014,0,1,4,14,27
B46,S.s,S,AW0014,19,AW0014,0,1,5,19,32
B46,S.s,S,AW0014,20,AW0014,0,1,5,10,32
B46,S.s,S,AW0014,21,AW0014,0,1,5,14,32
B46,S.s,S,AW0014,22,AW0014,0,1,8,25,32
B46,S.s,S,AW0014,23,AW0014,0,1,8,15,37
B46,S.s,S,AW0014,24,AW0014,0,1,10,23,37
B46,S.s,S,AW0014,25,AW0014,0,1,6,25,37
B46,S.s,S,AW0014,26,AW0014,0,1,4,10,37
B46,S.s,S,AW0014,27,AW0014,0,1,5,12,42
B46,S.s,S,AW0014,28,AW0014,0,1,9,19,42
B46,S.s,S,AW0014,29,AW0014,0,1,11,26,42
B46,S.s,S,AW0014,30,AW0014,0,1,4,6,42
B46,S.s,S,AW0015,3,AW0015,0,1,7,11,1
B46,S.s,S,AW0015,4,AW0015,0,1,11,33,1
B46,S.s,S,AW0015,5,AW0015,0,1,6,12,1
B46,S.s,S,AW0015,6,AW0015,0,1,8,25,1
B46,S.s,S,AW0015,7,AW0015,0,1,9,16,10
B46,S.s,S,AW0015,9,AW0015,0,1,7,15,10
B46,S.s,S,AW0015,10,AW0015,0,1,6,18,10
B46,S.s,S,AW0015,11,AW0015,0,1,5,19,10
B46,S.s,S,AW0015,13,AW0015,0,1,9,23,14
B46,S.s,S,AW0015,15,AW0015,0,1,5,20,14
B46,S.s,S,AW0015,18,AW0015,0,1,4,14,14
B46,S.s,S,AW0015,19,AW0015,0,1,3,9,14
B46,S.s,S,AW0015,21,AW0015,0,1,5,10,16
B46,S.s,S,AW0015,22,AW0015,0,1,5,11,16
B46,S.s,S,AW0015,26,AW0015,0,1,4,10,16
B46,S.s,S,AW0015,27,AW0015,0,1,8,33,16
B46,S.s,S,AW0015,28,AW0015,0,1,7,16,24
B46,S.s,S,AW0015,30,AW0015,0,1,10,21,24
B46,S.s,S,AW0015,31,AW0015,0,1,6,20,24
B46,S.s,S,AW0015,32,AW0015,0,1,4,10,24
B46,S.s,S,AW0016,1,AW0016,0,1,6,18,28
B46,S.s,S,AW0016,2,AW0016,0,1,4,11,28
B46,S.s,S,AW0016,3,AW0016,0,1,6,12,28
B46,S.s,S,AW0016,4,AW0016,0,1,6,19,28
B46,S.s,S,AW0016,8,AW0016,0,1,5,12,28
B46,S.s,S,AW0016,10,AW0016,0,1,6,10,28
B46,S.s,S,AW0016,11,AW0016,0,1,9,20,28
B46,S.s,S,AW0016,15,AW0016,0,1,6,12,28
B46,S.s,S,AW0016,16,AW0016,0,1,2,7,42
B46,S.s,S,AW0016,17,AW0016,0,1,4,19,42
B46,S.s,S,AW0016,18,AW0016,0,1,5,17,42
B46,S.s,S,AW0016,21,AW0016,0,1,4,13,42
B46,S.s,S,AW0016,22,AW0016,0,1,6,20,6
B46,S.s,S,AW0016,23,AW0016,0,1,7,24,6
B46,S.s,S,AW0016,24,AW0016,0,1,7,20,6
B46,S.s,S,AW0016,25,AW0016,0,1,8,19,6
B46,S.s,S,AW0016,26,AW0016,0,1,9,20,11
B46,S.s,S,AW0016,27,AW0016,0,1,6,22,11
B46,S.s,S,AW0016,28,AW0016,0,1,4,6,11
B46,S.s,S,AW0016,29,AW0016,0,1,3,10,11
B46,S.s,S,AW0019,1,AW0019,0,1,5,13,11
B46,S.s,S,AW0019,2,AW0019,0,1,4,15,11
B46,S.s,S,AW0019,3,AW0019,0,1,9,26,11
B46,S.s,S,AW0019,4,AW0019,0,1,5,20,11
B46,S.s,S,AW0019,5,AW0019,0,1,10,22,17
B46,S.s,S,AW0019,6,AW0019,0,1,7,18,17
B46,S.s,S,AW0019,7,AW0019,0,1,12,32,17
B46,S.s,S,AW0019,8,AW0019,0,1,6,14,17
B46,S.s,S,AW0019,9,AW0019,0,1,11,27,19
B46,S.s,S,AW0019,13,AW0019,0,1,8,20,19
B46,S.s,S,AW0019,14,AW0019,0,1,10,20,19
B46,S.s,S,AW0019,17,AW0019,0,1,6,13,19
B46,S.s,S,AW0019,18,AW0019,0,1,7,20,31
B46,S.s,S,AW0019,19,AW0019,0,1,4,13,31
B46,S.s,S,AW0019,20,AW0019,0,1,5,11,31
B46,S.s,S,AW0019,21,AW0019,0,1,3,13,31
B46,S.s,S,AW0019,22,AW0019,0,1,4,9,33
B46,S.s,S,AW0019,24,AW0019,0,1,7,21,33
B46,S.s,S,AW0019,25,AW0019,0,1,9,22,33
B46,S.s,S,AW0019,26,AW0019,0,1,5,15,33
B46,S.s,S,AW0019,27,AW0019,0,1,6,16,35
B46,S.s,S,AW0019,28,AW0019,0,1,7,11,35
B46,S.s,S,AW0019,31,AW0019,0,1,4,8,35
B46,S.s,S,AW0019,32,AW0019,0,1,3,14,35
B46,S.s,S,AW0026,1,AW0026,0,1,5,20,3
B46,S.s,S,AW0026,2,AW0026,0,1,8,19,3
B46,S.s,S,AW0026,3,AW0026,0,1,4,6,3
B46,S.s,S,AW0026,4,AW0026,0,1,6,15,3
B46,S.s,S,AW0026,7,AW0026,0,1,5,10,15
B46,S.s,S,AW0026,8,AW0026,0,1,6,11,15
B46,S.s,S,AW0026,9,AW0026,0,1,4,10,15
B46,S.s,S,AW0026,10,AW0026,0,1,5,15,15
B46,S.s,S,AW0026,13,AW0026,0,1,8,16,16
B46,S.s,S,AW0026,17,AW0026,0,1,4,6,16
B46,S.s,S,AW0026,18,AW0026,0,1,3,6,16
B46,S.s,S,AW0026,19,AW0026,0,1,3,6,16
B46,S.s,S,AW0026,22,AW0026,0,1,4,11,18
B46,S.s,S,AW0026,23,AW0026,0,1,7,13,18
B46,S.s,S,AW0026,24,AW0026,0,1,8,21,18
B46,S.s,S,AW0026,26,AW0026,0,1,4,10,18
B46,S.s,S,AW0026,27,AW0026,0,1,4,5,30
B46,S.s,S,AW0026,28,AW0026,0,1,5,9,30
B46,S.s,S,AW0026,30,AW0026,0,1,7,15,30
B46,S.s,S,AW0029,1,AW0029,0,1,5,14,30
B46,S.s,S,AW0029,2,AW0029,0,1,4,5,34
B46,S.s,S,AW0029,3,AW0029,0,1,5,9,34
B46,S.s,S,AW0029,4,AW0029,0,1,4,6,34
B46,S.s,S,AW0029,5,AW0029,0,1,5,8,34
B46,S.s,S,AW0029,6,AW0029,0,1,6,15,34
B46,S.s,S,AW0029,8,AW0029,0,1,6,13,34
B46,S.s,S,AW0029,13,AW0029,0,1,9,29,34
B46,S.s,S,AW0029,14,AW0029,0,1,7,15,34
B46,S.s,S,AW0029,15,AW0029,0,1,5,15,39
B46,S.s,S,AW0029,16,AW0029,0,1,7,12,39
B46,S.s,S,AW0029,22,AW0029,0,1,5,16,39
B46,S.s,S,AW0029,23,AW0029,0,1,3,11,39
B46,S.s,S,AW0029,24,AW0029,0,1,6,19,4
B46,S.s,S,AW0029,25,AW0029,0,1,14,24,4
