pop,ms,s.region,mom,rep,id,A.D.NA,surv,surv.to.seedling,rack
B46,S,S.s,AW0006,1,AW0006.1,A,1,1,1
B46,S,S.s,AW0006,2,AW0006.2,A,1,1,1
B46,S,S.s,AW0006,3,AW0006.3,A,1,1,1
B46,S,S.s,AW0006,4,AW0006.4,A,1,1,1
B46,S,S.s,AW0006,5,AW0006.5,NA,NA,0,10
B46,S,S.s,AW0006,6,AW0006.6,A,1,1,10
B46,S,S.s,AW0006,7,AW0006.7,A,1,1,10
B46,S,S.s,AW0006,8,AW0006.8,A,1,1,10
B46,S,S.s,AW0006,9,AW0006.9,A,1,1,15
B46,S,S.s,AW0006,10,AW0006.10,A,1,1,15
B46,S,S.s,AW0006,11,AW0006.11,A,1,1,15
B46,S,S.s,AW0006,12,AW0006.12,A,1,1,15
B46,S,S.s,AW0006,13,AW0006.13,D,0,0,29
B46,S,S.s,AW0006,14,AW0006.14,A,1,1,29
B46,S,S.s,AW0006,15,AW0006.15,A,1,1,29
B46,S,S.s,AW0006,16,AW0006.16,A,1,1,29
B46,S,S.s,AW0006,17,AW0006.17,A,1,1,34
B46,S,S.s,AW0006,18,AW0006.18,A,1,1,34
B46,S,S.s,AW0006,19,AW0006.19,A,1,1,34
B46,S,S.s,AW0006,20,AW0006.20,NA,NA,0,34
B46,S,S.s,AW0006,21,AW0006.21,A,1,1,37
B46,S,S.s,AW0006,22,AW0006.22,A,1,1,37
B46,S,S.s,AW0006,23,AW0006.23,A,1,1,37
B46,S,S.s,AW0006,24,AW0006.24,DEAD,0,0,37
B46,S,S.s,AW0006,25,AW0006.25,NA,NA,0,38
B46,S,S.s,AW0006,26,AW0006.26,A,1,1,38
B46,S,S.s,AW0006,27,AW0006.27,A,1,1,38
B46,S,S.s,AW0006,28,AW0006.28,A,1,1,38
B46,S,S.s,AW0006,29,AW0006.29,A,1,1,42
B46,S,S.s,AW0006,30,AW0006.30,A,1,1,42
B46,S,S.s,AW0006,31,AW0006.31,A,1,1,42
B46,S,S.s,AW0006,32,AW0006.32,A,1,1,42
B46,S,S.s,AW0007,1,AW0007.1,NA,NA,0,2
B46,S,S.s,AW0007,2,AW0007.2,A,1,1,2
B46,S,S.s,AW0007,3,AW0007.3,A,1,1,2
B46,S,S.s,AW0007,4,AW0007.4,A,1,1,2
B46,S,S.s,AW0007,5,AW0007.5,?,NA,0,13
B46,S,S.s,AW0007,6,AW0007.6,A,1,1,13
B46,S,S.s,AW0007,7,AW0007.7,A,1,1,13
B46,S,S.s,AW0007,8,AW0007.8,A,1,1,13
B46,S,S.s,AW0007,9,AW0007.9,A,1,1,17
B46,S,S.s,AW0007,10,AW0007.10,A,1,1,17
B46,S,S.s,AW0007,11,AW0007.11,A,1,1,17
B46,S,S.s,AW0007,12,AW0007.12,NA,NA,0,17
B46,S,S.s,AW0007,13,AW0007.13,A,1,1,19
B46,S,S.s,AW0007,14,AW0007.14,A,1,1,19
B46,S,S.s,AW0007,15,AW0007.15,A,1,1,19
B46,S,S.s,AW0007,16,AW0007.16,A,1,1,19
B46,S,S.s,AW0007,17,AW0007.17,A,1,1,20
B46,S,S.s,AW0007,18,AW0007.18,NA,NA,0,20
B46,S,S.s,AW0007,19,AW0007.19,NA,NA,0,20
B46,S,S.s,AW0007,20,AW0007.20,NA,NA,0,20
B46,S,S.s,AW0007,21,AW0007.21,NA,NA,0,27
B46,S,S.s,AW0007,22,AW0007.22,NA,NA,0,27
B46,S,S.s,AW0007,23,AW0007.23,NA,NA,0,27
B46,S,S.s,AW0007,24,AW0007.24,NA,NA,0,27
B46,S,S.s,AW0007,25,AW0007.25,A,1,1,28
B46,S,S.s,AW0007,26,AW0007.26,A,1,1,28
B46,S,S.s,AW0007,27,AW0007.27,A,1,1,28
B46,S,S.s,AW0007,28,AW0007.28,NA,NA,0,28
B46,S,S.s,AW0007,29,AW0007.29,A,1,1,32
B46,S,S.s,AW0007,30,AW0007.30,A,1,1,32
B46,S,S.s,AW0007,31,AW0007.31,A,1,1,32
B46,S,S.s,AW0007,32,AW0007.32,A,1,1,32
B46,S,S.s,AW0008,1,AW0008.1,A,1,1,3
B46,S,S.s,AW0008,2,AW0008.2,A,1,1,3
B46,S,S.s,AW0008,3,AW0008.3,A,1,1,3
B46,S,S.s,AW0008,4,AW0008.4,A,1,1,3
B46,S,S.s,AW0008,5,AW0008.5,A,1,1,11
B46,S,S.s,AW0008,6,AW0008.6,NA,NA,0,11
B46,S,S.s,AW0008,7,AW0008.7,A,1,1,11
B46,S,S.s,AW0008,8,AW0008.8,A,1,1,11
B46,S,S.s,AW0008,9,AW0008.9,A,1,1,19
B46,S,S.s,AW0008,10,AW0008.10,A,1,1,19
B46,S,S.s,AW0008,11,AW0008.11,NA,NA,0,19
B46,S,S.s,AW0008,12,AW0008.12,A,1,1,19
B46,S,S.s,AW0008,13,AW0008.13,NA,NA,0,24
B46,S,S.s,AW0008,14,AW0008.14,A,1,1,24
B46,S,S.s,AW0008,15,AW0008.15,A,1,1,24
B46,S,S.s,AW0008,16,AW0008.16,A,1,1,24
B46,S,S.s,AW0008,17,AW0008.17,A,1,1,29
B46,S,S.s,AW0008,18,AW0008.18,D,0,0,29
B46,S,S.s,AW0008,19,AW0008.19,A,1,1,29
B46,S,S.s,AW0008,20,AW0008.20,A,1,1,29
B46,S,S.s,AW0008,21,AW0008.21,NA,NA,0,39
B46,S,S.s,AW0008,22,AW0008.22,A,1,1,39
B46,S,S.s,AW0008,23,AW0008.23,A,1,1,39
B46,S,S.s,AW0008,24,AW0008.24,A,1,1,39
B46,S,S.s,AW0008,25,AW0008.25,A,1,1,41
B46,S,S.s,AW0008,26,AW0008.26,A,1,1,41
B46,S,S.s,AW0008,27,AW0008.27,A,1,1,41
B46,S,S.s,AW0008,28,AW0008.28,A,1,1,41
B46,S,S.s,AW0008,29,AW0008.29,A,1,1,43
B46,S,S.s,AW0008,30,AW0008.30,A,1,1,43
B46,S,S.s,AW0008,31,AW0008.31,NA,NA,0,43
B46,S,S.s,AW0008,32,AW0008.32,NA,NA,0,43
B46,S,S.s,AW0010,1,AW0010.1,A,1,1,5
B46,S,S.s,AW0010,2,AW0010.2,A,1,1,5
B46,S,S.s,AW0010,3,AW0010.3,A,1,1,5
B46,S,S.s,AW0010,4,AW0010.4,A,1,1,5
B46,S,S.s,AW0010,5,AW0010.5,NA,NA,0,11
B46,S,S.s,AW0010,6,AW0010.6,A,1,1,11
B46,S,S.s,AW0010,7,AW0010.7,A,1,1,11
B46,S,S.s,AW0010,8,AW0010.8,A,1,1,11
B46,S,S.s,AW0010,9,AW0010.9,NA,NA,0,14
B46,S,S.s,AW0010,10,AW0010.10,A,1,1,14
B46,S,S.s,AW0010,11,AW0010.11,NA,NA,0,14
B46,S,S.s,AW0010,12,AW0010.12,NA,NA,0,14
B46,S,S.s,AW0010,13,AW0010.13,NA,NA,0,19
B46,S,S.s,AW0010,14,AW0010.14,D,0,0,19
B46,S,S.s,AW0010,15,AW0010.15,A,1,1,19
B46,S,S.s,AW0010,16,AW0010.16,A,1,1,19
B46,S,S.s,AW0010,17,AW0010.17,A,1,1,27
B46,S,S.s,AW0010,18,AW0010.18,D,0,0,27
B46,S,S.s,AW0010,19,AW0010.19,A,1,1,27
B46,S,S.s,AW0010,20,AW0010.20,A,1,1,27
B46,S,S.s,AW0010,21,AW0010.21,NA,NA,0,32
B46,S,S.s,AW0010,22,AW0010.22,NA,NA,0,32
B46,S,S.s,AW0010,23,AW0010.23,A,1,1,32
B46,S,S.s,AW0010,24,AW0010.24,A,1,1,32
B46,S,S.s,AW0010,25,AW0010.25,NA,NA,0,37
B46,S,S.s,AW0010,26,AW0010.26,NA,NA,0,37
B46,S,S.s,AW0010,27,AW0010.27,A,1,1,37
B46,S,S.s,AW0010,28,AW0010.28,A,1,1,37
B46,S,S.s,AW0010,29,AW0010.29,NA,NA,0,42
B46,S,S.s,AW0010,30,AW0010.30,NA,NA,0,42
B46,S,S.s,AW0010,31,AW0010.31,A,1,1,42
B46,S,S.s,AW0010,32,AW0010.32,A,1,1,42
B46,S,S.s,AW0011,1,AW0011.1,A,1,1,1
B46,S,S.s,AW0011,2,AW0011.2,NA,NA,0,1
B46,S,S.s,AW0011,3,AW0011.3,A,1,1,1
B46,S,S.s,AW0011,4,AW0011.4,A,1,1,1
B46,S,S.s,AW0011,5,AW0011.5,NA,NA,0,10
B46,S,S.s,AW0011,6,AW0011.6,A,1,1,10
B46,S,S.s,AW0011,7,AW0011.7,A,1,1,10
B46,S,S.s,AW0011,8,AW0011.8,A,1,1,10
B46,S,S.s,AW0011,9,AW0011.9,A,1,1,14
B46,S,S.s,AW0011,10,AW0011.10,NA,NA,0,14
B46,S,S.s,AW0011,11,AW0011.11,NA,NA,0,14
B46,S,S.s,AW0011,12,AW0011.12,D,0,0,14
B46,S,S.s,AW0011,13,AW0011.13,NA,NA,0,16
B46,S,S.s,AW0011,14,AW0011.14,A,1,1,16
B46,S,S.s,AW0011,15,AW0011.15,A,1,1,16
B46,S,S.s,AW0011,16,AW0011.16,NA,NA,0,16
B46,S,S.s,AW0011,17,AW0011.17,NA,NA,0,24
B46,S,S.s,AW0011,18,AW0011.18,A,1,1,24
B46,S,S.s,AW0011,19,AW0011.19,NA,NA,0,24
B46,S,S.s,AW0011,20,AW0011.20,A,1,1,24
B46,S,S.s,AW0011,21,AW0011.21,A,1,1,28
B46,S,S.s,AW0011,22,AW0011.22,A,1,1,28
B46,S,S.s,AW0011,23,AW0011.23,A,1,1,28
B46,S,S.s,AW0011,24,AW0011.24,NA,NA,0,28
B46,S,S.s,AW0011,25,AW0011.25,NA,NA,0,28
B46,S,S.s,AW0011,26,AW0011.26,A,1,1,28
B46,S,S.s,AW0011,27,AW0011.27,NA,NA,0,28
B46,S,S.s,AW0011,28,AW0011.28,NA,NA,0,28
B46,S,S.s,AW0011,29,AW0011.29,NA,NA,0,42
B46,S,S.s,AW0011,30,AW0011.30,NA,NA,0,42
B46,S,S.s,AW0011,31,AW0011.31,A,1,1,42
B46,S,S.s,AW0011,32,AW0011.32,A,1,1,42
B46,S,S.s,AW0014,1,AW0014.1,A,1,1,6
B46,S,S.s,AW0014,2,AW0014.2,A,1,1,6
B46,S,S.s,AW0014,3,AW0014.3,A,1,1,6
B46,S,S.s,AW0014,4,AW0014.4,A,1,1,6
B46,S,S.s,AW0014,5,AW0014.5,A,1,1,11
B46,S,S.s,AW0014,6,AW0014.6,A,1,1,11
B46,S,S.s,AW0014,7,AW0014.7,NA,NA,0,11
B46,S,S.s,AW0014,8,AW0014.8,NA,NA,0,11
B46,S,S.s,AW0014,9,AW0014.9,A,1,1,11
B46,S,S.s,AW0014,10,AW0014.10,A,1,1,11
B46,S,S.s,AW0014,11,AW0014.11,A,1,1,11
B46,S,S.s,AW0014,12,AW0014.12,A,1,1,11
B46,S,S.s,AW0014,13,AW0014.13,A,1,1,17
B46,S,S.s,AW0014,14,AW0014.14,A,1,1,17
B46,S,S.s,AW0014,15,AW0014.15,A,1,1,17
B46,S,S.s,AW0014,16,AW0014.16,A,1,1,17
B46,S,S.s,AW0014,17,AW0014.17,A,1,1,19
B46,S,S.s,AW0014,18,AW0014.18,A,1,1,19
B46,S,S.s,AW0014,19,AW0014.19,A,1,1,19
B46,S,S.s,AW0014,20,AW0014.20,A,1,1,19
B46,S,S.s,AW0014,21,AW0014.21,A,1,1,31
B46,S,S.s,AW0014,22,AW0014.22,A,1,1,31
B46,S,S.s,AW0014,23,AW0014.23,A,1,1,31
B46,S,S.s,AW0014,24,AW0014.24,A,1,1,31
B46,S,S.s,AW0014,25,AW0014.25,A,1,1,33
B46,S,S.s,AW0014,26,AW0014.26,A,1,1,33
B46,S,S.s,AW0014,27,AW0014.27,A,1,1,33
B46,S,S.s,AW0014,28,AW0014.28,A,1,1,33
B46,S,S.s,AW0014,29,AW0014.29,A,1,1,35
B46,S,S.s,AW0014,30,AW0014.30,A,1,1,35
B46,S,S.s,AW0014,31,AW0014.31,A,1,1,35
B46,S,S.s,AW0014,32,AW0014.32,NA,NA,0,35
B46,S,S.s,AW0015,1,AW0015.1,NA,NA,0,3
B46,S,S.s,AW0015,2,AW0015.2,NA,NA,0,3
B46,S,S.s,AW0015,3,AW0015.3,A,1,1,3
B46,S,S.s,AW0015,4,AW0015.4,A,1,1,3
B46,S,S.s,AW0015,5,AW0015.5,A,1,1,15
B46,S,S.s,AW0015,6,AW0015.6,A,1,1,15
B46,S,S.s,AW0015,7,AW0015.7,A,1,1,15
B46,S,S.s,AW0015,8,AW0015.8,NA,NA,0,15
B46,S,S.s,AW0015,9,AW0015.9,A,1,1,16
B46,S,S.s,AW0015,10,AW0015.10,A,1,1,16
B46,S,S.s,AW0015,11,AW0015.11,A,1,1,16
B46,S,S.s,AW0015,12,AW0015.12,NA,NA,0,16
B46,S,S.s,AW0015,13,AW0015.13,A,1,1,18
B46,S,S.s,AW0015,14,AW0015.14,NA,NA,0,18
B46,S,S.s,AW0015,15,AW0015.15,A,1,1,18
B46,S,S.s,AW0015,16,AW0015.16,NA,NA,0,18
B46,S,S.s,AW0015,17,AW0015.17,NA,NA,0,30
B46,S,S.s,AW0015,18,AW0015.18,A,1,1,30
B46,S,S.s,AW0015,19,AW0015.19,A,1,1,30
B46,S,S.s,AW0015,20,AW0015.20,NA,NA,0,30
B46,S,S.s,AW0015,21,AW0015.21,A,1,1,34
B46,S,S.s,AW0015,22,AW0015.22,A,1,1,34
B46,S,S.s,AW0015,23,AW0015.23,NA,NA,0,34
B46,S,S.s,AW0015,24,AW0015.24,NA,NA,0,34
B46,S,S.s,AW0015,25,AW0015.25,A,1,1,34
B46,S,S.s,AW0015,26,AW0015.26,A,1,1,34
B46,S,S.s,AW0015,27,AW0015.27,A,1,1,34
B46,S,S.s,AW0015,28,AW0015.28,?,NA,0,34
B46,S,S.s,AW0015,29,AW0015.29,NA,NA,0,39
B46,S,S.s,AW0015,30,AW0015.30,A,1,1,39
B46,S,S.s,AW0015,31,AW0015.31,A,1,1,39
B46,S,S.s,AW0015,32,AW0015.32,A,1,1,39
B46,S,S.s,AW0016,1,AW0016.1,A,1,1,4
B46,S,S.s,AW0016,2,AW0016.2,A,1,1,4
B46,S,S.s,AW0016,3,AW0016.3,A,1,1,4
B46,S,S.s,AW0016,4,AW0016.4,A,1,1,4
B46,S,S.s,AW0016,5,AW0016.5,NA,NA,0,7
B46,S,S.s,AW0016,6,AW0016.6,NA,NA,0,7
B46,S,S.s,AW0016,7,AW0016.7,NA,NA,0,7
B46,S,S.s,AW0016,8,AW0016.8,A,1,1,7
B46,S,S.s,AW0016,9,AW0016.9,NA,NA,0,20
B46,S,S.s,AW0016,10,AW0016.10,A,1,1,20
B46,S,S.s,AW0016,11,AW0016.11,A,1,1,20
